ID,Name,Website,Category,Description,Pricing Model,Is Verified,Rating,Features,Integrations,API Available,Created At,Updated At
11,"Writesonic",https://writesonic.com,AI Copywriting Tools,"All-in-one AI content creation platform with SEO research, writing, optimization, and publishing capabilities.",freemium,Yes,4.50,"AI Article Writer, Chatsonic Agent, SEO Integration, Real-time Data, Multi-model LLM Support, Content Publishing","Semrush, Ahrefs, Keywords Everywhere, Zapier",Yes,2026-06-24T20:40:28.000Z,2026-06-24T20:40:28.000Z
12,"Jasper",https://www.jasper.ai,AI Copywriting Tools,"Enterprise AI copywriting platform with brand voice training, team collaboration, and multi-format content generation.",paid,Yes,4.50,"Brand Voice Training, Multi-format Templates, Team Collaboration, Content Calendar, AI Chat, SEO Optimization","HubSpot, Zapier, Google Drive, Slack",Yes,2026-06-24T20:40:28.000Z,2026-06-24T20:40:28.000Z
13,"Copy.ai",https://www.copy.ai,AI Copywriting Tools,"AI copywriting tool with workflow automation, multi-format content generation, and team features.",free,Yes,4.50,"Content Workflows, Multi-format Generation, Team Collaboration, Brand Voice, API Access, Zapier Integration","Zapier, Slack, Google Drive, 2000+ apps",Yes,2026-06-24T20:40:28.000Z,2026-06-24T20:40:28.000Z
14,"ChatGPT Plus",https://chatgpt.com,AI Copywriting Tools,"General-purpose AI assistant with powerful copywriting, brainstorming, and content adaptation capabilities.",freemium,Yes,4.50,"Content Generation, Brainstorming, Editing, Translation, Code Generation, Custom GPTs","Web browsing, Code Interpreter, File uploads",Yes,2026-06-24T20:40:28.000Z,2026-06-24T20:40:28.000Z
15,"Rytr",https://rytr.me,AI Copywriting Tools,"Affordable AI writing assistant for creating marketing copy, emails, and social media content.",freemium,Yes,4.50,"50+ Writing Templates, Tone Selection, Content Repurposing, Plagiarism Checker, Grammar Check","Zapier, Google Drive",No,2026-06-24T20:40:29.000Z,2026-06-24T20:40:29.000Z
16,"Instantly.ai",https://instantly.ai,AI Lead Generation Tools,"AI-powered outreach platform with B2B lead database, email automation, and CRM integration.",free,Yes,4.50,"Lead Database, Email Automation, AI Sequences, Deliverability Tools, CRM Integration, Analytics","Zapier, Google Sheets, Slack, CRM platforms",Yes,2026-06-24T20:40:29.000Z,2026-06-24T20:40:29.000Z
17,"Apollo.io",https://www.apollo.io,AI Lead Generation Tools,"All-in-one sales platform with B2B database, email sequences, dialers, and AI-powered lead scoring.",freemium,Yes,4.50,"B2B Database, Email Sequencing, Dialer, Lead Scoring, CRM Integration, AI Workflows","Salesforce, HubSpot, Slack, Zapier",Yes,2026-06-24T20:40:29.000Z,2026-06-24T20:40:29.000Z
18,"Seamless.ai",https://seamless.ai,AI Lead Generation Tools,"AI sales platform delivering verified B2B leads, automated outreach, and real-time buyer intent signals.",paid,Yes,4.50,"Verified Leads, Automated Outreach, Buyer Intent Signals, Email Finder, Phone Finder, CRM Sync","Salesforce, HubSpot, Slack, Zapier",Yes,2026-06-24T20:40:29.000Z,2026-06-24T20:40:29.000Z
19,"Clay",https://www.clay.com,AI Lead Generation Tools,"GTM platform with waterfall data enrichment, AI agents for prospect research, and personalized outreach.",enterprise,Yes,4.50,"Waterfall Enrichment, AI Agents, Multi-source Data, Claygent Research, Workflow Automation","LinkedIn, Clearbit, CRM platforms, Zapier",Yes,2026-06-24T20:40:29.000Z,2026-06-24T20:40:29.000Z
20,"Lemlist",https://lemlist.com,AI Lead Generation Tools,"Email marketing and lead generation platform with AI personalization and automated sequences.",freemium,Yes,4.50,"AI Personalization, Email Sequences, Lead Database, Deliverability, A/B Testing, Analytics","Zapier, Slack, CRM platforms, Google Sheets",Yes,2026-06-24T20:40:29.000Z,2026-06-24T20:40:29.000Z
21,"Hunter.io",https://hunter.io,AI Lead Generation Tools,"Email finder and verification tool for B2B lead generation with domain search and email validation.",freemium,Yes,4.50,"Email Finder, Domain Search, Email Verification, Lead Lists, API Access, Integrations","Zapier, HubSpot, Salesforce, Slack",Yes,2026-06-24T20:40:29.000Z,2026-06-24T20:40:29.000Z
22,"ZoomInfo",https://www.zoominfo.com,AI Lead Generation Tools,"Enterprise B2B database with AI-powered lead scoring, intent data, and buyer intelligence.",enterprise,Yes,4.50,"B2B Database, Intent Data, Lead Scoring, Buyer Intelligence, CRM Integration, Analytics","Salesforce, HubSpot, Marketo, Slack",Yes,2026-06-24T20:40:29.000Z,2026-06-24T20:40:29.000Z
23,"Podium",https://www.podium.com,AI Lead Generation Tools,"Local business platform with AI-powered lead capture, messaging, and customer engagement.",paid,Yes,4.50,"Lead Capture, SMS Messaging, Review Management, Webchat, CRM Integration","Zapier, Salesforce, HubSpot",Yes,2026-06-24T20:40:29.000Z,2026-06-24T20:40:29.000Z
24,"Brevo (Sendinblue)",https://www.brevo.com,AI Email Marketing Tools,"All-in-one email marketing and CRM platform with AI-powered subject line optimization and send time prediction.",free,Yes,4.50,"Email Marketing, CRM, SMS, AI Subject Lines, Send Time Optimization, Automation","Zapier, Shopify, WordPress, WooCommerce",Yes,2026-06-24T20:40:29.000Z,2026-06-24T20:40:29.000Z
25,"Encharge",https://encharge.io,AI Email Marketing Tools,"Email marketing platform with AI-powered personalization, dynamic content, and behavioral automation.",freemium,Yes,4.50,"AI Personalization, Dynamic Content, Behavioral Automation, Segmentation, Analytics, Integrations","Zapier, Stripe, Shopify, WordPress",Yes,2026-06-24T20:40:29.000Z,2026-06-24T20:40:29.000Z
26,"Active Campaign",https://www.activecampaign.com,AI Email Marketing Tools,"Customer experience automation platform with AI-powered email marketing, CRM, and sales automation.",paid,Yes,4.50,"Email Marketing, CRM, Sales Automation, AI Recommendations, Lead Scoring, Integrations","Zapier, Shopify, WordPress, Slack",Yes,2026-06-24T20:40:29.000Z,2026-06-24T20:40:29.000Z
27,"Mailchimp",https://mailchimp.com,AI Email Marketing Tools,"Email marketing and CRM platform with AI-powered recommendations and automation.",free,Yes,4.50,"Email Marketing, CRM, AI Recommendations, Automation, Analytics, Integrations","Zapier, Shopify, WordPress, Slack",Yes,2026-06-24T20:40:29.000Z,2026-06-24T20:40:29.000Z
28,"ConvertKit",https://convertkit.com,AI Email Marketing Tools,"Email marketing platform designed for creators with AI-powered features and automation.",freemium,Yes,4.50,"Email Marketing, Automation, Landing Pages, Subscriber Management, Analytics","Zapier, Stripe, Gumroad",Yes,2026-06-24T20:40:29.000Z,2026-06-24T20:40:29.000Z
29,"Klaviyo",https://www.klaviyo.com,AI Email Marketing Tools,"E-commerce email marketing platform with AI-powered personalization and predictive analytics.",free,Yes,4.50,"Email Marketing, SMS, AI Personalization, Predictive Analytics, Segmentation, Integrations","Shopify, WooCommerce, Zapier, Slack",Yes,2026-06-24T20:40:29.000Z,2026-06-24T20:40:29.000Z
30,"Zapier",https://zapier.com,AI Automation Tools,"Workflow automation platform connecting 7000+ apps with AI-powered automation and Zaps.",freemium,Yes,4.50,"Workflow Automation, App Integration, AI Automation, Multi-step Zaps, Analytics","7000+ apps",Yes,2026-06-24T20:40:29.000Z,2026-06-24T20:40:29.000Z
31,"Make (formerly Integromat)",https://www.make.com,AI Automation Tools,"Visual workflow automation platform with AI-powered automation and 1000+ app integrations.",freemium,Yes,4.50,"Visual Workflows, AI Automation, App Integration, Scenario Builder, Analytics","1000+ apps",Yes,2026-06-24T20:40:29.000Z,2026-06-24T20:40:29.000Z
32,"Pabbly Connect",https://www.pabbly.com/connect,AI Automation Tools,"Affordable workflow automation platform with integration and automation features.",freemium,Yes,4.50,"Workflow Automation, App Integration, Multi-step Workflows, Analytics","500+ apps",Yes,2026-06-24T20:40:30.000Z,2026-06-24T20:40:30.000Z
33,"n8n",https://n8n.io,AI Automation Tools,"Open-source workflow automation platform with AI-powered automation and 400+ integrations.",free,Yes,4.50,"Workflow Automation, Open Source, App Integration, Self-hosted Option, AI Automation","400+ apps",Yes,2026-06-24T20:40:30.000Z,2026-06-24T20:40:30.000Z
34,"HubSpot",https://www.hubspot.com,AI Automation Tools,"All-in-one CRM platform with AI-powered sales, marketing, and customer service automation.",free,Yes,4.50,"CRM, Email Marketing, Sales Automation, AI Chatbots, Analytics, Integrations","Zapier, Slack, Google Analytics",Yes,2026-06-24T20:40:30.000Z,2026-06-24T20:40:30.000Z
35,"Marketo",https://www.marketo.com,AI Automation Tools,"Enterprise marketing automation platform with AI-powered lead scoring and personalization.",enterprise,Yes,4.50,"Marketing Automation, Lead Scoring, AI Personalization, Analytics, Integrations","Salesforce, Google Analytics, Slack",Yes,2026-06-24T20:40:30.000Z,2026-06-24T20:40:30.000Z
36,"Gumloop",https://gumloop.com,AI Automation Tools,"No-code AI workflow automation platform for building AI-powered automations.",freemium,Yes,4.50,"No-code AI Workflows, AI Automation, App Integration, Custom Logic","Zapier, Google Drive, Slack",Yes,2026-06-24T20:40:30.000Z,2026-06-24T20:40:30.000Z
37,"Buffer",https://buffer.com,AI Automation Tools,"Social media management platform with AI-powered post generation and scheduling.",freemium,Yes,4.50,"AI Post Generation, Scheduling, Analytics, Audience Insights, Team Collaboration, Content Calendar","Zapier, Slack, Google Analytics",Yes,2026-06-24T20:40:30.000Z,2026-06-24T20:40:30.000Z
38,"Hootsuite",https://www.hootsuite.com,AI Automation Tools,"Social media management platform with OwlyWriter AI for content creation and team collaboration.",paid,Yes,4.50,"OwlyWriter AI, Social Scheduling, Analytics, Team Collaboration, Approval Workflows, Integrations","Zapier, Slack, Google Analytics, Salesforce",Yes,2026-06-24T20:40:30.000Z,2026-06-24T20:40:30.000Z
39,"Sprout Social",https://www.sproutsocial.com,AI Automation Tools,"Enterprise social media management platform with AI-powered analytics and social listening.",paid,Yes,4.50,"AI Analytics, Social Listening, Sentiment Analysis, Publishing, Engagement Tools, Reporting","Salesforce, HubSpot, Slack, Zapier",Yes,2026-06-24T20:40:30.000Z,2026-06-24T20:40:30.000Z
40,"Publer",https://publer.io,AI Automation Tools,"Social media management platform with AI content generation and image creation.",freemium,Yes,4.50,"AI Content Generation, Image Generation, Scheduling, Analytics, Team Collaboration, Video Editing","Zapier, Google Drive, Slack",Yes,2026-06-24T20:40:30.000Z,2026-06-24T20:40:30.000Z
41,"Predis.ai",https://predis.ai,AI Automation Tools,"AI social media content creation tool for generating posts, captions, and images.",freemium,Yes,4.50,"AI Post Creation, Image Generation, Video Creation, Caption Writing, Goal Tracking, Analytics","Zapier, Google Drive",No,2026-06-24T20:40:30.000Z,2026-06-24T20:40:30.000Z
42,"ContentStudio",https://www.contentstudio.io,AI Automation Tools,"Content marketing platform with AI-powered content discovery, curation, and distribution.",freemium,Yes,4.50,"Content Discovery, AI Curation, Social Publishing, Team Collaboration, Analytics, Influencer Monitoring","Zapier, Slack, Google Drive",Yes,2026-06-24T20:40:30.000Z,2026-06-24T20:40:30.000Z
43,"FeedHive",https://www.feedhive.io,AI Automation Tools,"Social media management platform with AI-powered content recycling and conditional posting.",paid,Yes,4.50,"Content Recycling, Conditional Posting, AI Engagement, Analytics, Team Collaboration, Scheduling","Zapier, Google Drive, Slack",Yes,2026-06-24T20:40:30.000Z,2026-06-24T20:40:30.000Z
44,"StoryChief",https://www.storychief.io,AI Automation Tools,"Content marketing platform with AI-powered content strategy and multi-channel distribution.",freemium,Yes,4.50,"AI Content Strategy, Multi-channel Publishing, Collaboration, SEO Optimization, Analytics, Integrations","WordPress, Zapier, Google Analytics, Slack",Yes,2026-06-24T20:40:30.000Z,2026-06-24T20:40:30.000Z
45,"Eclincher",https://www.eclincher.com,AI Automation Tools,"Social media management platform with AI-powered engagement automation and sentiment analysis.",paid,Yes,4.50,"AI Engagement, Sentiment Analysis, Social Listening, Publishing, Analytics, Team Collaboration","Zapier, Slack, Google Analytics",Yes,2026-06-24T20:40:30.000Z,2026-06-24T20:40:30.000Z
46,"HeyGen",https://www.heygen.com,AI Automation Tools,"AI video generation platform for creating avatar-based videos for marketing.",freemium,Yes,4.50,"AI Avatar, Video Generation, Text-to-Speech, Template Library, Customization, Export Options","Zapier, Google Drive",Yes,2026-06-24T20:40:30.000Z,2026-06-24T20:40:30.000Z
47,"Captions",https://www.captions.ai,AI Automation Tools,"AI video editing platform for short-form video automation and caption generation.",freemium,Yes,4.50,"Auto Captions, Video Editing, Clip Generation, Subtitle Sync, Export Options, Customization","Zapier, Google Drive",No,2026-06-24T20:40:30.000Z,2026-06-24T20:40:30.000Z
48,"ElevenLabs",https://elevenlabs.io,AI Automation Tools,"AI voice and audio platform for generating realistic voiceovers and audio content.",freemium,Yes,4.50,"Text-to-Speech, Voice Cloning, Multilingual Support, Audio Editing, API Access, Customization","Zapier, Custom APIs",Yes,2026-06-24T20:40:30.000Z,2026-06-24T20:40:30.000Z
49,"AdCreative.ai",https://www.adcreative.ai,AI Automation Tools,"AI ad creative generation platform for creating high-performing ad variations.",paid,Yes,4.50,"Ad Creative Generation, Variation Testing, Performance Prediction, Brand Consistency, Export Options","Facebook Ads, Google Ads, Zapier",Yes,2026-06-24T20:40:31.000Z,2026-06-24T20:40:31.000Z
50,"Weblium",https://www.weblium.com,AI Automation Tools,"AI website builder for creating websites and landing pages without coding.",freemium,Yes,4.50,"Website Builder, Landing Pages, AI Design, SEO Tools, Analytics, Integrations","Zapier, Google Analytics, Mailchimp",No,2026-06-24T20:40:31.000Z,2026-06-24T20:40:31.000Z
51,"Mutiny",https://www.mutiny.com,AI Automation Tools,"Website personalization platform with AI-powered real-time visitor targeting.",paid,Yes,4.50,"Website Personalization, Real-time Targeting, AI Segmentation, Analytics, Integrations, A/B Testing","Salesforce, HubSpot, Google Analytics",Yes,2026-06-24T20:40:31.000Z,2026-06-24T20:40:31.000Z
52,"Brand24",https://brand24.com,AI Automation Tools,"Brand monitoring platform with AI-powered sentiment analysis and social listening.",paid,Yes,4.50,"Brand Monitoring, Sentiment Analysis, Social Listening, Influencer Detection, Analytics, Alerts","Zapier, Slack, Google Analytics",Yes,2026-06-24T20:40:31.000Z,2026-06-24T20:40:31.000Z
53,"MarketMuse",https://www.marketmuse.com,AI SEO Tools,"AI content strategy platform for building topical authority and content planning.",enterprise,Yes,4.50,"Content Audit, Topic Modeling, Content Briefs, Competitive Analysis, Gap Analysis, Recommendations","Google Search Console, Google Analytics",Yes,2026-06-24T20:40:31.000Z,2026-06-24T20:40:31.000Z
54,"Scalenut",https://www.scalenut.com,AI SEO Tools,"AI-powered SEO and content platform for keyword research, content optimization, and planning.",freemium,Yes,4.50,"Keyword Research, Content Optimization, SEO Audit, Content Planning, AI Writing, Analytics","Google Search Console, Google Analytics, Zapier",Yes,2026-06-24T20:40:31.000Z,2026-06-24T20:40:31.000Z
55,"Pitchbox",https://pitchbox.com,AI SEO Tools,"Outreach and link building platform with AI-powered personalization and tracking.",paid,Yes,4.50,"Influencer Discovery, Outreach Automation, AI Personalization, Link Tracking, Analytics, CRM Integration","Zapier, Google Sheets, Slack",Yes,2026-06-24T20:40:31.000Z,2026-06-24T20:40:31.000Z
56,"Ranking Raccoon",https://rankingraccoon.com,AI SEO Tools,"Backlink exchange platform with community-based link building.",free,Yes,4.50,"Backlink Exchange, Community Moderation, Link Quality, Analytics, Reporting","Google Search Console",No,2026-06-24T20:40:31.000Z,2026-06-24T20:40:31.000Z
57,"Indexly",https://indexly.io,AI SEO Tools,"Indexing automation platform for faster page indexing in search engines.",freemium,Yes,4.50,"Automatic Indexing, Google Search Console Integration, Monitoring, Alerts, Analytics","Google Search Console, Zapier",Yes,2026-06-24T20:40:31.000Z,2026-06-24T20:40:31.000Z
58,"Writer.com",https://writer.com,AI Copywriting Tools,"Enterprise AI writing platform with brand voice consistency and governance features.",enterprise,Yes,4.50,"Brand Voice, Content Generation, Governance, Team Collaboration, Integrations, API Access","Salesforce, HubSpot, Google Drive",Yes,2026-06-24T20:40:31.000Z,2026-06-24T20:40:31.000Z
59,"Grammarly",https://www.grammarly.com,AI Copywriting Tools,"AI writing assistant for grammar checking, tone detection, and writing suggestions.",free,Yes,4.50,"Grammar Check, Tone Detection, Writing Suggestions, Plagiarism Check, Browser Extension, API","Google Docs, Gmail, Slack",Yes,2026-06-24T20:40:31.000Z,2026-06-24T20:40:31.000Z
60,"QuillBot",https://quillbot.com,AI Copywriting Tools,"AI paraphrasing and writing tool for content rewriting and plagiarism reduction.",freemium,Yes,4.50,"Paraphrasing, Grammar Check, Plagiarism Checker, Citation Generator, Writing Modes, Browser Extension","Google Docs, Microsoft Word",No,2026-06-24T20:40:31.000Z,2026-06-24T20:40:31.000Z
61,"Wordtune",https://www.wordtune.com,AI Copywriting Tools,"AI writing assistant for rewriting and rephrasing content with tone options.",freemium,Yes,4.50,"Text Rewriting, Tone Options, Shortening, Expanding, Formality Control, Browser Extension","Google Docs, Microsoft Word, Gmail",No,2026-06-24T20:40:31.000Z,2026-06-24T20:40:31.000Z
62,"Copysmith",https://www.copysmith.ai,AI Copywriting Tools,"AI copywriting tool for product descriptions, ads, and marketing copy.",freemium,Yes,4.50,"Product Descriptions, Ad Copy, Email Copy, Social Media Posts, SEO Optimization, Brand Voice","Shopify, WooCommerce, Zapier",Yes,2026-06-24T20:40:31.000Z,2026-06-24T20:40:31.000Z
63,"Sudowrite",https://www.sudowrite.com,AI Copywriting Tools,"AI writing tool for creative writing, storytelling, and long-form content.",paid,Yes,4.50,"Creative Writing, Storytelling, Character Development, Editing, Collaboration, Export Options","Google Drive, Dropbox",No,2026-06-24T20:40:31.000Z,2026-06-24T20:40:31.000Z
64,"Descript",https://www.descript.com,AI Automation Tools,"AI-powered video and podcast editing platform with transcription and editing.",freemium,Yes,4.50,"Transcription, Video Editing, Audio Editing, Collaboration, Publishing, Analytics","Zapier, Google Drive, Slack",Yes,2026-06-24T20:40:31.000Z,2026-06-24T20:40:31.000Z
65,"Synthesia",https://www.synthesia.io,AI Automation Tools,"AI video generation platform for creating videos from text with AI avatars.",paid,Yes,4.50,"AI Avatar, Text-to-Video, Multi-language, Template Library, Custom Branding, Export Options","Zapier, Google Drive",Yes,2026-06-24T20:40:31.000Z,2026-06-24T20:40:31.000Z
66,"Runway",https://runwayml.com,AI Automation Tools,"AI video editing and generation platform with creative tools.",freemium,Yes,4.50,"Video Editing, AI Effects, Green Screen, Motion Tracking, Export Options, Collaboration","Google Drive, Dropbox",Yes,2026-06-24T20:40:31.000Z,2026-06-24T20:40:31.000Z
67,"Canva",https://www.canva.com,AI Automation Tools,"Design platform with AI-powered design suggestions and template library.",free,Yes,4.50,"Design Templates, AI Design, Photo Editor, Brand Kit, Collaboration, Export Options","Zapier, Google Drive, Slack",Yes,2026-06-24T20:40:32.000Z,2026-06-24T20:40:32.000Z
68,"Figma",https://www.figma.com,AI Automation Tools,"Collaborative design platform with AI-powered design suggestions and prototyping.",free,Yes,4.50,"Design Tools, Prototyping, Collaboration, AI Suggestions, Component Library, Export Options","Zapier, Slack, Google Drive",Yes,2026-06-24T20:40:32.000Z,2026-06-24T20:40:32.000Z
69,"Midjourney",https://www.midjourney.com,AI Automation Tools,"AI image generation platform for creating high-quality images from text prompts.",freemium,Yes,4.50,"Image Generation, Style Control, Upscaling, Variations, Discord Integration, API Access","Discord, Custom APIs",Yes,2026-06-24T20:40:32.000Z,2026-06-24T20:40:32.000Z
70,"DALL-E 3",https://openai.com/dall-e-3,AI Automation Tools,"AI image generation platform by OpenAI for creating images from text descriptions.",paid,Yes,4.50,"Image Generation, Text-to-Image, Editing, Variations, API Access","ChatGPT, Custom APIs",Yes,2026-06-24T20:40:32.000Z,2026-06-24T20:40:32.000Z
71,"Stable Diffusion",https://stability.ai,AI Automation Tools,"Open-source AI image generation model for creating images from text prompts.",free,Yes,4.50,"Image Generation, Text-to-Image, Open Source, API Access, Customization","Custom APIs, Hugging Face",Yes,2026-06-24T20:40:32.000Z,2026-06-24T20:40:32.000Z
72,"Perplexity AI",https://www.perplexity.ai,AI SEO Tools,"AI search engine for research with real-time web access and citations.",free,Yes,4.50,"AI Search, Real-time Web, Citations, Research, Collections, API Access","Custom APIs",Yes,2026-06-24T20:40:32.000Z,2026-06-24T20:40:32.000Z
73,"Notion AI",https://www.notion.so/product/ai,AI Automation Tools,"AI-powered workspace with writing assistance and content generation.",paid,Yes,4.50,"AI Writing, Content Generation, Summarization, Translation, Workspace Integration","Zapier, Google Drive, Slack",Yes,2026-06-24T20:40:32.000Z,2026-06-24T20:40:32.000Z
74,"Monday.com",https://monday.com,AI Automation Tools,"Work management platform with AI-powered automation and project tracking.",freemium,Yes,4.50,"Project Management, AI Automation, Workflow Automation, Integrations, Analytics, Collaboration","Zapier, Slack, Google Drive",Yes,2026-06-24T20:40:32.000Z,2026-06-24T20:40:32.000Z
75,"Asana",https://asana.com,AI Automation Tools,"Project management platform with AI-powered task automation and insights.",freemium,Yes,4.50,"Project Management, AI Automation, Task Tracking, Timeline View, Integrations, Analytics","Zapier, Slack, Google Drive",Yes,2026-06-24T20:40:32.000Z,2026-06-24T20:40:32.000Z
76,"Slack",https://slack.com,AI Automation Tools,"Team communication platform with AI-powered search and automation.",freemium,Yes,4.50,"Team Chat, AI Search, Automation, Integrations, File Sharing, Workflows","2000+ apps, Zapier",Yes,2026-06-24T20:40:32.000Z,2026-06-24T20:40:32.000Z
77,"Microsoft Teams",https://www.microsoft.com/teams,AI Automation Tools,"Team collaboration platform with AI-powered meeting transcription and insights.",free,Yes,4.50,"Team Chat, Video Meetings, AI Transcription, File Sharing, Integrations, Workflows","Microsoft 365, Zapier",Yes,2026-06-24T20:40:32.000Z,2026-06-24T20:40:32.000Z
78,"Salesforce Einstein",https://www.salesforce.com/products/einstein/overview/,AI Automation Tools,"AI-powered CRM platform with predictive analytics and recommendations.",enterprise,Yes,4.50,"CRM, AI Predictions, Lead Scoring, Recommendations, Automation, Analytics","Zapier, Google Analytics, Slack",Yes,2026-06-24T20:40:32.000Z,2026-06-24T20:40:32.000Z
79,"Pipedrive",https://www.pipedrive.com,AI Automation Tools,"Sales CRM platform with AI-powered lead scoring and sales insights.",freemium,Yes,4.50,"CRM, AI Lead Scoring, Sales Pipeline, Automation, Analytics, Integrations","Zapier, Gmail, Slack",Yes,2026-06-24T20:40:32.000Z,2026-06-24T20:40:32.000Z
80,"Freshworks CRM",https://www.freshworks.com/crm,AI Automation Tools,"AI-powered CRM platform for sales, marketing, and customer service.",freemium,Yes,4.50,"CRM, AI Insights, Sales Automation, Marketing Automation, Analytics, Integrations","Zapier, Slack, Google Drive",Yes,2026-06-24T20:40:32.000Z,2026-06-24T20:40:32.000Z
81,"Intercom",https://www.intercom.com,AI Automation Tools,"Customer communication platform with AI-powered chatbots and messaging.",paid,Yes,4.50,"Chatbots, Messaging, AI Automation, Help Center, Analytics, Integrations","Zapier, Slack, Salesforce",Yes,2026-06-24T20:40:32.000Z,2026-06-24T20:40:32.000Z
82,"Zendesk",https://www.zendesk.com,AI Automation Tools,"Customer service platform with AI-powered support automation.",paid,Yes,4.50,"Ticketing, AI Support, Knowledge Base, Automation, Analytics, Integrations","Zapier, Slack, Salesforce",Yes,2026-06-24T20:40:32.000Z,2026-06-24T20:40:32.000Z
83,"Drift",https://www.drift.com,AI Automation Tools,"Conversational marketing platform with AI-powered chatbots and live chat.",paid,Yes,4.50,"Chatbots, Live Chat, AI Conversations, Lead Qualification, Analytics, Integrations","Salesforce, HubSpot, Zapier",Yes,2026-06-24T20:40:32.000Z,2026-06-24T20:40:32.000Z
84,"Typeform",https://www.typeform.com,AI Automation Tools,"Form and survey platform with AI-powered form creation and analysis.",freemium,Yes,4.50,"Form Builder, AI Forms, Surveys, Analytics, Integrations, Automation","Zapier, Slack, Google Sheets",Yes,2026-06-24T20:40:33.000Z,2026-06-24T20:40:33.000Z
85,"Google Analytics 4",https://analytics.google.com,AI Automation Tools,"Web analytics platform with AI-powered insights and predictive analytics.",enterprise,Yes,4.50,"Web Analytics, AI Insights, Predictive Analytics, Conversion Tracking, Integrations","Google Ads, Google Search Console, Zapier",Yes,2026-06-24T20:40:33.000Z,2026-06-24T20:40:33.000Z
86,"Mixpanel",https://mixpanel.com,AI Automation Tools,"Product analytics platform with AI-powered user behavior analysis.",enterprise,Yes,4.50,"User Analytics, AI Insights, Cohort Analysis, Funnel Analysis, Integrations","Zapier, Slack, Segment",Yes,2026-06-24T20:40:33.000Z,2026-06-24T20:40:33.000Z
